date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,40,0,0,0
2021-04-01,Australia,0,25,0,0,0
2021-04-01,Sweden,0,10,0,0,0
2021-04-02,Afghanistan,0,31,9,0,0
2021-04-02,Australia,0,19,6,0,0
2021-04-02,Sweden,0,6,4,0,0
2021-04-03,Afghanistan,0,26,14,0,0
2021-04-03,Australia,0,15,10,0,0
2021-04-03,Sweden,0,4,6,0,0
2021-04-04,Afghanistan,0,23,17,0,0
2021-04-04,Australia,0,14,11,0,0
2021-04-04,Sweden,0,4,6,0,0
2021-04-05,Afghanistan,0,19,21,0,0
2021-04-05,Australia,0,13,12,0,0
2021-04-05,Sweden,0,3,7,0,0
2021-04-06,Afghanistan,0,14,17,4,5
2021-04-06,Australia,0,12,7,4,2
2021-04-06,Sweden,0,3,3,2,2
2021-04-07,Afghanistan,0,12,14,8,6
2021-04-07,Australia,0,10,5,6,4
2021-04-07,Sweden,0,3,1,3,3
2021-04-08,Afghanistan,0,11,12,9,8
2021-04-08,Australia,0,7,7,6,5
2021-04-08,Sweden,0,3,1,3,3
2021-04-09,Afghanistan,0,8,11,12,9
2021-04-09,Australia,0,7,6,6,6
2021-04-09,Sweden,0,2,1,3,4
2021-04-10,Afghanistan,0,6,8,14,12
2021-04-10,Australia,0,6,6,7,6
2021-04-10,Sweden,0,2,1,3,4
2021-04-11,Afghanistan,0,5,7,15,13
2021-04-11,Australia,0,6,4,8,7
2021-04-11,Sweden,0,1,2,3,4
2021-04-12,Afghanistan,0,5,6,16,13
2021-04-12,Australia,0,6,1,8,10
2021-04-12,Sweden,0,1,2,3,4
2021-04-13,Afghanistan,0,5,3,17,15
2021-04-13,Australia,0,5,2,8,10
2021-04-13,Sweden,0,1,1,3,5
2021-04-14,Afghanistan,0,5,1,17,17
2021-04-14,Australia,0,5,1,8,11
2021-04-14,Sweden,0,1,1,3,5
2021-04-15,Afghanistan,0,5,0,17,18
2021-04-15,Australia,0,4,2,8,11
2021-04-15,Sweden,0,1,0,4,5
2021-04-16,Afghanistan,0,4,1,17,18
2021-04-16,Australia,0,3,3,8,11
2021-04-16,Sweden,0,1,0,4,5
2021-04-17,Afghanistan,0,3,2,17,18
2021-04-17,Australia,0,3,2,9,11
2021-04-17,Sweden,0,1,0,4,5
2021-04-18,Afghanistan,0,3,2,17,18
2021-04-18,Australia,0,2,3,9,11
2021-04-18,Sweden,0,1,0,4,5
2021-04-19,Afghanistan,0,3,2,17,18
2021-04-19,Australia,0,2,2,10,11
2021-04-19,Sweden,0,1,0,4,5
2021-04-20,Afghanistan,0,3,1,23,13
2021-04-20,Australia,1,2,1,11,10
2021-04-20,Sweden,1,1,0,5,3
2021-04-21,Afghanistan,0,3,0,25,12
